活着,"主演：葛优,巩俐,牛犇",1994-05-17
钢琴家,"主演：艾德里安·布洛迪,艾米莉娅·福克斯,米哈乌·热布罗夫斯基",2002-05-24
勇敢的心,"主演：梅尔·吉布森,苏菲·玛索,帕特里克·麦高汉",1995-05-18
阿飞正传,"主演：张国荣,张曼玉,刘德华",2018-06-25
射雕英雄传之东成西就,"主演：张国荣,梁朝伟,张学友",1993-02-05
爱·回家,"主演：俞承豪,金艺芬,童孝熙",2002-04-05
初恋这件小事,"主演：马里奥·毛瑞尔,平采娜·乐维瑟派布恩,阿查拉那·阿瑞亚卫考",2012-06-05
泰坦尼克号,"主演：莱昂纳多·迪卡普里奥,凯特·温丝莱特,比利·赞恩",1998-04-03
迁徙的鸟,"主演：雅克·贝汉,Philippe Labro",2001-12-12
蝙蝠侠：黑暗骑士,"主演：克里斯蒂安·贝尔,希斯·莱杰,阿伦·伊克哈特",2008-07-14
恐怖直播,"主演：河正宇,李璟荣,李大卫",2013-07-31
我爱你,"主演：宋在浩,李顺才,尹秀晶",2011-02-17
大闹天宫,"主演：邱岳峰,毕克,富润生",1965-12-31
剪刀手爱德华,"主演：约翰尼·德普,薇诺娜·瑞德,黛安娜·威斯特",1990-12-06
甜蜜蜜,"主演：黎明,张曼玉,杜可风",2015-02-13
闻香识女人,"主演：阿尔·帕西诺,克里斯·奥唐纳,加布里埃尔·安瓦尔",1992-12-23
英雄本色,"主演：狄龙,张国荣,周润发",2017-11-17
三傻大闹宝莱坞,"主演：阿米尔·汗,黄渤,卡琳娜·卡普",2011-12-08
黑客帝国3：矩阵革命,"主演：基努·里维斯,雨果·维文,凯瑞-安·莫斯",2003-11-05
触不可及,"主演：弗朗索瓦·克鲁塞,奥玛·希,安娜·勒尼",2011-11-02
